     TSINCE (MIN)         LAT(DEG)        LON (DEG)          HT (KM)           X (KM)           Y (KM)           Z (KM)


 b'1 52191U 22033AL  22256.49821493 +.00010438  00000 0  45470-3 0 0999'
 b'2 52191  97.3911 336.4109 0011709  47.9955 312.2276 15.2232817402506'

 26554.49821493

 26554.49821493
    322636.6538341       61.3282521      132.0197680      493.0627035    -3297.2376473     -221.2724303     6005.5873106
    322636.6705008       61.3894615      131.9802314      493.0841644    -3290.9494792     -218.8104577     6009.1280259
    322636.6871675       61.4506609      131.9405564      493.1056098    -3284.6572526     -216.3482147     6012.6613143
    322636.7038341       61.5118502      131.9007422      493.1270395    -3278.3609794     -213.8857058     6016.1871695
    322636.7205008       61.5730294      131.8607879      493.1484534    -3272.0606651     -211.4229333     6019.7055881
    322636.7371675       61.6341984      131.8206926      493.1698515    -3265.7563177     -208.9599002     6023.2165658
    322636.7538341       61.6953571      131.7804554      493.1912337    -3259.4479430     -206.4966088     6026.7200996
    322636.7705008       61.7565056      131.7400755      493.2125999    -3253.1355528     -204.0330636     6030.2161828
    322636.7871675       61.8176436      131.6995519      493.2339500    -3246.8191528     -201.5692670     6033.7048124
    322636.8038341       61.8787712      131.6588836      493.2552839    -3240.4987509     -199.1052219     6037.1859841
    322636.8205008       61.9398883      131.6180698      493.2766015    -3234.1743529     -196.6409307     6040.6596947
    322636.8371675       62.0009949      131.5771095      493.2979028    -3227.8459707     -194.1763980     6044.1259378
    322636.8538341       62.0620908      131.5360018      493.3191876    -3221.5136100     -191.7116259     6047.5847103
    322636.8705008       62.1231760      131.4947458      493.3404559    -3215.1772788     -189.2466175     6051.0360079
    322636.8871675       62.1842505      131.4533404      493.3617076    -3208.8369827     -186.7813751     6054.4798276
    322636.9038341       62.2453142      131.4117848      493.3829426    -3202.4927338     -184.3159034     6057.9161629
    322636.9205008       62.3063670      131.3700779      493.4041608    -3196.1445378     -181.8502044     6061.3450107
    322636.9371675       62.3674088      131.3282187      493.4253622    -3189.7924025     -179.3842814     6064.7663669
    322636.9538341       62.4284396      131.2862063      493.4465466    -3183.4363339     -176.9181365     6068.1802284
    322636.9705008       62.4894594      131.2440398      493.4677140    -3177.0763438     -174.4517744     6071.5865888
    322636.9871675       62.5504679      131.2017179      493.4888642    -3170.7124380     -171.9851972     6074.9854450
    322637.0038341       62.6114653      131.1592399      493.5099973    -3164.3446246     -169.5184082     6078.3767930
    322637.0205008       62.6724514      131.1166045      493.5311130    -3157.9729092     -167.0514094     6081.7606296
    322637.0371675       62.7334261      131.0738109      493.5522114    -3151.5973038     -164.5842056     6085.1369486
    322637.0538341       62.7943894      131.0308580      493.5732924    -3145.2178143     -162.1167989     6088.5057469
    322637.0705008       62.8553412      130.9877446      493.5943558    -3138.8344486     -159.6491925     6091.8670204
    322637.0871675       62.9162814      130.9444698      493.6154015    -3132.4472125     -157.1813886     6095.2207661
    322637.1038341       62.9772100      130.9010325      493.6364296    -3126.0561180     -154.7133917     6098.5669778
    322637.1205008       63.0381269      130.8574317      493.6574399    -3119.6611709     -152.2452042     6101.9056525
    322637.1371675       63.0990320      130.8136661      493.6784323    -3113.2623793     -149.7768291     6105.2367860
    322637.1538341       63.1599252      130.7697348      493.6994067    -3106.8597490     -147.3082687     6108.5603754
    322637.1705008       63.2208065      130.7256366      493.7203631    -3100.4532918     -144.8395275     6111.8764145
    322637.1871675       63.2816758      130.6813705      493.7413014    -3094.0430138     -142.3706078     6115.1849003
    322637.2038341       63.3425330      130.6369352      493.7622215    -3087.6289209     -139.9015120     6118.4858298
    322637.2205008       63.4033780      130.5923297      493.7831233    -3081.2110249     -137.4322445     6121.7791970
    322637.2371675       63.4642108      130.5475528      493.8040067    -3074.7893319     -134.9628077     6125.0649988
    322637.2538341       63.5250313      130.5026034      493.8248717    -3068.3638497     -132.4932046     6128.3432312
    322637.2705008       63.5858394      130.4574804      493.8457181    -3061.9345844     -130.0234374     6131.6138913
    322637.2871675       63.6466350      130.4121824      493.8665459    -3055.5015478     -127.5535108     6134.8769731
    322637.3038341       63.7074180      130.3667084      493.8873550    -3049.0647460     -125.0834271     6138.1324735
    322637.3205008       63.7681884      130.3210572      493.9081453    -3042.6241868     -122.6131892     6141.3803886
