     TSINCE (MIN)           X (KM)           Y (KM)           Z (KM)      XDOT (KM/S)       YDOT(KM/S)    ZDOT (KM/SEC)


 b'1 52191U 22033AL  22256.49821493 +.00010438  00000 0  45470-3 0 0999'
 b'2 52191  97.3911 336.4109 0011709  47.9955 312.2276 15.2232817402506'

 26554.49821493

 26554.49821493
    322636.9705008    -3177.0763438     -174.4517744     6071.5865888        6.3618816        2.4664409        3.4025746
    322636.9871675    -3170.7124380     -171.9851972     6074.9854450        6.3657932        2.4666544        3.3950685
    322637.0038341    -3164.3446246     -169.5184082     6078.3767930        6.3696970        2.4668648        3.3875582
    322637.0205008    -3157.9729092     -167.0514094     6081.7606296        6.3735929        2.4670722        3.3800438
    322637.0371675    -3151.5973038     -164.5842056     6085.1369486        6.3774810        2.4672765        3.3725253
    322637.0538341    -3145.2178143     -162.1167989     6088.5057469        6.3813611        2.4674778        3.3650026
    322637.0705008    -3138.8344486     -159.6491925     6091.8670204        6.3852333        2.4676761        3.3574759
    322637.0871675    -3132.4472125     -157.1813886     6095.2207661        6.3890977        2.4678713        3.3499450
    322637.1038341    -3126.0561180     -154.7133917     6098.5669778        6.3929541        2.4680635        3.3424101
    322637.1205008    -3119.6611709     -152.2452042     6101.9056525        6.3968027        2.4682526        3.3348711
    322637.1371675    -3113.2623793     -149.7768291     6105.2367860        6.4006433        2.4684387        3.3273280
    322637.1538341    -3106.8597490     -147.3082687     6108.5603754        6.4044760        2.4686218        3.3197809
    322637.1705008    -3100.4532918     -144.8395275     6111.8764145        6.4083008        2.4688018        3.3122297
    322637.1871675    -3094.0430138     -142.3706078     6115.1849003        6.4121177        2.4689787        3.3046745
    322637.2038341    -3087.6289209     -139.9015120     6118.4858298        6.4159266        2.4691527        3.2971153
    322637.2205008    -3081.2110249     -137.4322445     6121.7791970        6.4197277        2.4693235        3.2895520
    322637.2371675    -3074.7893319     -134.9628077     6125.0649988        6.4235207        2.4694914        3.2819847
    322637.2538341    -3068.3638497     -132.4932046     6128.3432312        6.4273059        2.4696562        3.2744134
    322637.2705008    -3061.9345844     -130.0234374     6131.6138913        6.4310830        2.4698179        3.2668382
    322637.2871675    -3055.5015478     -127.5535108     6134.8769731        6.4348523        2.4699766        3.2592589
    322637.3038341    -3049.0647460     -125.0834271     6138.1324735        6.4386135        2.4701322        3.2516757
    322637.3205008    -3042.6241868     -122.6131892     6141.3803886        6.4423668        2.4702848        3.2440885
    322637.3371675    -3036.1798763     -120.1427995     6144.6207155        6.4461122        2.4704344        3.2364973
    322637.3538341    -3029.7318264     -117.6722626     6147.8534481        6.4498496        2.4705809        3.2289022
    322637.3705008    -3023.2800430     -115.2015806     6151.0785837        6.4535789        2.4707244        3.2213032
    322637.3871675    -3016.8245343     -112.7307567     6154.2961181        6.4573004        2.4708648        3.2137003
    322637.4038341    -3010.3653060     -110.2597932     6157.5060485        6.4610138        2.4710022        3.2060934
    322637.4205008    -3003.9023703     -107.7886945     6160.7083691        6.4647193        2.4711365        3.1984826
    322637.4371675    -2997.4357331     -105.3174631     6163.9030768        6.4684167        2.4712678        3.1908679
    322637.4538341    -2990.9654024     -102.8461020     6167.0901678        6.4721062        2.4713961        3.1832494
    322637.4705008    -2984.4913842     -100.3746133     6170.2696392        6.4757876        2.4715213        3.1756269
    322637.4871675    -2978.0136906      -97.9030017     6173.4414852        6.4794611        2.4716434        3.1680006
    322637.5038341    -2971.5323275      -95.4312696     6176.6057028        6.4831265        2.4717625        3.1603704
    322637.5205008    -2965.0473029      -92.9594198     6179.7622883        6.4867839        2.4718786        3.1527364
    322637.5371675    -2958.5586228      -90.4874548     6182.9112387        6.4904334        2.4719916        3.1450985
    322637.5538341    -2952.0662994      -88.0153791     6186.0525482        6.4940747        2.4721015        3.1374568
    322637.5705008    -2945.5703385      -85.5431949     6189.1862141        6.4977081        2.4722084        3.1298113
    322637.5871675    -2939.0707482      -83.0709054     6192.3122324        6.5013334        2.4723123        3.1221620
    322637.6038341    -2932.5675346      -80.5985127     6195.4306004        6.5049507        2.4724131        3.1145088
    322637.6205008    -2926.0607097      -78.1260216     6198.5413123        6.5085600        2.4725109        3.1068519
    322637.6371675    -2919.5502796      -75.6534342     6201.6443653        6.5121612        2.4726056        3.0991912
    322637.6538341    -2913.0362523      -73.1807536     6204.7397555        6.5157543        2.4726973        3.0915267
    322637.6705008    -2906.5186338      -70.7079821     6207.8274803        6.5193394        2.4727859        3.0838584
    322637.6871675    -2899.9974362      -68.2351242     6210.9075339        6.5229165        2.4728715        3.0761864
    322637.7038341    -2893.4726655      -65.7621823     6213.9799136        6.5264854        2.4729541        3.0685106
    322637.7205008    -2886.9443299      -63.2891594     6217.0446155        6.5300464        2.4730336        3.0608311
    322637.7371675    -2880.4124353      -60.8160578     6220.1016369        6.5335992        2.4731100        3.0531479
    322637.7538341    -2873.8769940      -58.3428821     6223.1509722        6.5371440        2.4731834        3.0454609
    322637.7705008    -2867.3380118      -55.8696344     6226.1926186        6.5406807        2.4732537        3.0377703
    322637.7871675    -2860.7954970      -53.3963180     6229.2265724        6.5442093        2.4733210        3.0300759
    322637.8038341    -2854.2494556      -50.9229350     6232.2528309        6.5477298        2.4733853        3.0223779
    322637.8205008    -2847.6998997      -48.4494901     6235.2713885        6.5512422        2.4734465        3.0146762
    322637.8371675    -2841.1468354      -45.9759855     6238.2822424        6.5547466        2.4735047        3.0069708
    322637.8538341    -2834.5902687      -43.5024235     6241.2853900        6.5582428        2.4735598        2.9992617
    322637.8705008    -2828.0302118      -41.0288087     6244.2808256        6.5617309        2.4736118        2.9915490
    322637.8871675    -2821.4666709      -38.5551434     6247.2685466        6.5652109        2.4736608        2.9838326
    322637.9038341    -2814.8996540      -36.0814306     6250.2485494        6.5686828        2.4737068        2.9761126
    322637.9205008    -2808.3291671      -33.6076726     6253.2208313        6.5721466        2.4737497        2.9683890
    322637.9371675    -2801.7552225      -31.1338740     6256.1853867        6.5756023        2.4737896        2.9606618
    322637.9538341    -2795.1778263      -28.6600370     6259.1422130        6.5790499        2.4738264        2.9529310
    322637.9705008    -2788.5969866      -26.1861648     6262.0913066        6.5824893        2.4738602        2.9451966
    322637.9871675    -2782.0127094      -23.7122596     6265.0326648        6.5859206        2.4738909        2.9374586
    322638.0038341    -2775.4250070      -21.2383259     6267.9662822        6.5893437        2.4739186        2.9297170
    322638.0205008    -2768.8338856      -18.7643661     6270.8921562        6.5927587        2.4739432        2.9219718
    322638.0371675    -2762.2393532      -16.2903832     6273.8102831        6.5961656        2.4739648        2.9142231
